author,text,published_at,like_count
@jokonawanto1844,Berimbang dan netral.. cerdas dan bijak dalam menyampaikan pendapatnya... Guru gembul memang seorang guru ❤,2025-12-20T01:30:57Z,0
@MaksumEncum,Jangan. Menyalah2 keumat Islam. Indonesia. Bakal Bubar,2025-12-08T00:30:53Z,0
@alldump676,https://youtu.be/BtZZ_0pj6es?si=O1KvyXiVgBsxbMDW,2025-12-08T00:28:53Z,0
@SubaNus-e8r,"TIDAK,,
SEMUA AGAMA ADALAH SAMA TAK ADA PEMBEDA YG MEMBEDAKAN MANUSIA HANYA TINGKAH LAKU,PERBUATAN PERBUTAN DAN TINGKAH LAKU NYA LAH YG MENJADI BERBEDA
AGAMA TIDAK ADA YG SALAH YG SALAH ADALAH MANUSIA NYA YG TIDAK PERNAH MENGENALI DIRI NYA SENDIRI
DI AKIBATKAN PEMAHAMAN PEMAHAMAHAN YG TIDAK BERTANGGUNG JAWAB
KITA SEMUA SAMA
KARNA KITA SEMUA ADALAH 1",2025-12-06T13:59:29Z,0
@sabriishak2788,"Saya harap kritikan kang guru kpd KDM di ambil positifnya, saya sebagai pemeriksa membenarkan pendapat kang guru. Rskyat yg merusuh dgn merosakan properties rumah atau ruang ibadah ugama, itu sudah menjadi tanggung negara. Menyebabkan fitnah itu juga harus dijawab suatu waktu nanti. Q",2025-10-19T07:59:15Z,0
@IGEDERAUH-ok2ct,Gr gembul mg sll di berikan keselamatan unt trs menyuarakan kebenaran,2025-10-11T03:11:20Z,0
@antohutauruk2034,Menurut saya dalangnya Ustad gadungan yg sirik.Biar Tuhan yg menjamahnya,2025-10-10T20:39:06Z,1
@agungnugroho3220,Hadir,2025-10-10T03:59:37Z,0
@lukiustugiman3132,"Sekalipun, profokatornya dilindungi / di sebunyikan, tetapi di hadapan Tuhan Yesus, tdk ada sesuatu yg tersebunyi dan biarlah TuhanYesus yg bertindak 🙊🙏🙏🤝",2025-10-03T09:36:23Z,1
@HendriYan-u8b,"Islam selalu di salah sangkakan 
Masuk saja dengan damai masih di pertanyakan 
Yang nasuk melalui prnjjah merasa terjajah
Padahal aturan sudah jelas 
Tempat beribadah dan mendirikan tempat ibadah sudah ada aturan nya 
Bakhan masjid dan umat islam pun ada di suatu daerah tak bebas mendirikan tempat ibadah
Dan sllu di sudutkan 

Tak di tengok sebagian besar daerah aman aman saja 
 Bahkan ada komplek greja  yang sekeliling komplek tersebut mayoritas islam 
Biasa saja tu tak di  ganggu 
Dari dahulu baik baik saja 
Bermasalah nya sekarang karna
"" saya merasa paling kasih "" Dari kalian 
Kami minoritas kami paling kasih 
Bahkan mereka lupa maoyoritas mereka di dunia tukang obok obok negri orangcontoh Australia Amerika bahkan afrika  mereka lah biang kerok",2025-09-23T08:45:24Z,0
@indrasiregar16,Terimakasih pak guru,2025-09-19T19:26:26Z,0
@ayoksus,Mengenai KDM saya setuju pak gembul. Malah jangan kebiasaan dikasih uang. Kl memang harus ganti rugi ya kasih itu uang ganti rugi untuk perbaikan misalnya. Kl mau tolong org susah ya melalui subsidi. Jd yg kena tolong ga cm satu orang pas kejadian viral aja. Dibikin sistemnya.,2025-09-18T16:46:37Z,0
@nelsonsyahputra3020,"Trima kasih atas pencerahan dan penjelasan nya pak guru gembul.. saya agama khatolik
Memang benar, klo kami ibadah di hari raya besar (Natal dan tahun baru) itu polisi pada jaga gereja smua. Rasa nya gimna ya.....
Pak guru gembul tau gak,, keluarga dari kakek mama saya, keluarga dari kakek bapak saya bnyak yg berkorban utk memerdekakan indonesia yg tercinta ini.  Seperti Rocky Gerung katakan, dasar manusia DUNGU.... Dungu kuadrat.....",2025-09-18T15:10:40Z,0
@ayumikusumaputri7205,Indahnya dmn cba??,2025-09-12T20:30:08Z,0
@dickywang1485,"BIKIN MALU AJA‼️
Itu semua pasti orang2 Islam yg shalat wajibnya gak dilakukan ...... (artinya amal perbuatan se-hari2nya memang sudah penuh dosa, dosa besar meninggalkan shalat).",2025-09-07T17:13:58Z,0
@nmax.street,"Logika saya sebagai muslim, ada muslim marah marah ketika ada kegiatan agama lain, sebut misalnya kristen dan misal muslim tersebut bestatement bahwa akan ada kristenisasi atau ajakan masuk agama kristen, terus kenapa harus marah marah? Berarti kalau ada seorang muslim misal terkena pengaruh, mau masuk agama lain, ya berarti yang dipertanyakan keimanan dia sendiri, kok malah marah marah ke Agama lain..aneh si",2025-08-28T14:33:33Z,0
