author,text,published_at,like_count,clean_text,label_sentimen
@jokonawanto1844,Berimbang dan netral.. cerdas dan bijak dalam menyampaikan pendapatnya... Guru gembul memang seorang guru ❤,2025-12-20T01:30:57Z,0,Berimbang dan netral cerdas dan bijak dalam menyampaikan pendapatnya Guru gembul memang seorang guru,positive
@MaksumEncum,Jangan. Menyalah2 keumat Islam. Indonesia. Bakal Bubar,2025-12-08T00:30:53Z,0,Jangan Menyalah keumat Islam Indonesia Bakal Bubar,negative
@SubaNus-e8r,"TIDAK,,
SEMUA AGAMA ADALAH SAMA TAK ADA PEMBEDA YG MEMBEDAKAN MANUSIA HANYA TINGKAH LAKU,PERBUATAN PERBUTAN DAN TINGKAH LAKU NYA LAH YG MENJADI BERBEDA
AGAMA TIDAK ADA YG SALAH YG SALAH ADALAH MANUSIA NYA YG TIDAK PERNAH MENGENALI DIRI NYA SENDIRI
DI AKIBATKAN PEMAHAMAN PEMAHAMAHAN YG TIDAK BERTANGGUNG JAWAB
KITA SEMUA SAMA
KARNA KITA SEMUA ADALAH 1",2025-12-06T13:59:29Z,0,TIDAK SEMUA AGAMA ADALAH SAMA TAK ADA PEMBEDA YG MEMBEDAKAN MANUSIA HANYA TINGKAH LAKU PERBUATAN PERBUTAN DAN TINGKAH LAKU NYA LAH YG MENJADI BERBEDA AGAMA TIDAK ADA YG SALAH YG SALAH ADALAH MANUSIA NYA YG TIDAK PERNAH MENGENALI DIRI NYA SENDIRI DI AKIBATKAN PEMAHAMAN PEMAHAMAHAN YG TIDAK BERTANGGUNG JAWAB KITA SEMUA SAMA KARNA KITA SEMUA ADALAH,negative
@sabriishak2788,"Saya harap kritikan kang guru kpd KDM di ambil positifnya, saya sebagai pemeriksa membenarkan pendapat kang guru. Rskyat yg merusuh dgn merosakan properties rumah atau ruang ibadah ugama, itu sudah menjadi tanggung negara. Menyebabkan fitnah itu juga harus dijawab suatu waktu nanti. Q",2025-10-19T07:59:15Z,0,Saya harap kritikan kang guru kpd KDM di ambil positifnya saya sebagai pemeriksa membenarkan pendapat kang guru Rskyat yg merusuh dgn merosakan properties rumah atau ruang ibadah ugama itu sudah menjadi tanggung negara Menyebabkan fitnah itu juga harus dijawab suatu waktu nanti Q,negative
@IGEDERAUH-ok2ct,Gr gembul mg sll di berikan keselamatan unt trs menyuarakan kebenaran,2025-10-11T03:11:20Z,0,Gr gembul mg sll di berikan keselamatan unt trs menyuarakan kebenaran,positive
@antohutauruk2034,Menurut saya dalangnya Ustad gadungan yg sirik.Biar Tuhan yg menjamahnya,2025-10-10T20:39:06Z,1,Menurut saya dalangnya Ustad gadungan yg sirik Biar Tuhan yg menjamahnya,negative
@agungnugroho3220,Hadir,2025-10-10T03:59:37Z,0,Hadir,neutral
@lukiustugiman3132,"Sekalipun, profokatornya dilindungi / di sebunyikan, tetapi di hadapan Tuhan Yesus, tdk ada sesuatu yg tersebunyi dan biarlah TuhanYesus yg bertindak 🙊🙏🙏🤝",2025-10-03T09:36:23Z,1,Sekalipun profokatornya dilindungi di sebunyikan tetapi di hadapan Tuhan Yesus tdk ada sesuatu yg tersebunyi dan biarlah TuhanYesus yg bertindak,neutral
@HendriYan-u8b,"Islam selalu di salah sangkakan 
Masuk saja dengan damai masih di pertanyakan 
Yang nasuk melalui prnjjah merasa terjajah
Padahal aturan sudah jelas 
Tempat beribadah dan mendirikan tempat ibadah sudah ada aturan nya 
Bakhan masjid dan umat islam pun ada di suatu daerah tak bebas mendirikan tempat ibadah
Dan sllu di sudutkan 

Tak di tengok sebagian besar daerah aman aman saja 
 Bahkan ada komplek greja  yang sekeliling komplek tersebut mayoritas islam 
Biasa saja tu tak di  ganggu 
Dari dahulu baik baik saja 
Bermasalah nya sekarang karna
"" saya merasa paling kasih "" Dari kalian 
Kami minoritas kami paling kasih 
Bahkan mereka lupa maoyoritas mereka di dunia tukang obok obok negri orangcontoh Australia Amerika bahkan afrika  mereka lah biang kerok",2025-09-23T08:45:24Z,0,Islam selalu di salah sangkakan Masuk saja dengan damai masih di pertanyakan Yang nasuk melalui prnjjah merasa terjajah Padahal aturan sudah jelas Tempat beribadah dan mendirikan tempat ibadah sudah ada aturan nya Bakhan masjid dan umat islam pun ada di suatu daerah tak bebas mendirikan tempat ibadah Dan sllu di sudutkan Tak di tengok sebagian besar daerah aman aman saja Bahkan ada komplek greja yang sekeliling komplek tersebut mayoritas islam Biasa saja tu tak di ganggu Dari dahulu baik baik saja Bermasalah nya sekarang karna saya merasa paling kasih Dari kalian Kami minoritas kami paling kasih Bahkan mereka lupa maoyoritas mereka di dunia tukang obok obok negri orangcontoh Australia Amerika bahkan afrika mereka lah biang kerok,negative
@indrasiregar16,Terimakasih pak guru,2025-09-19T19:26:26Z,0,Terimakasih pak guru,positive
